date,cases,total_tests,County,pos_rate
2020-10-23,53.0,1224.0,Stanislaus,0.04330065359477124
2020-10-24,37.0,472.0,Stanislaus,0.07838983050847458
2020-10-25,43.0,290.0,Stanislaus,0.1482758620689655
2020-10-26,57.0,1730.0,Stanislaus,0.032947976878612714
2020-10-27,50.0,1793.0,Stanislaus,0.02788622420524261
2020-10-28,68.0,1453.0,Stanislaus,0.04679972470750172
2020-10-29,65.0,1233.0,Stanislaus,0.05271695052716951
2020-10-30,53.0,1169.0,Stanislaus,0.045337895637296836
2020-10-31,48.0,521.0,Stanislaus,0.09213051823416507
2020-11-01,63.0,601.0,Stanislaus,0.1048252911813644
2020-11-02,101.0,2245.0,Stanislaus,0.04498886414253898
2020-11-03,96.0,1844.0,Stanislaus,0.052060737527114966
2020-11-04,121.0,1365.0,Stanislaus,0.08864468864468865
2020-11-05,118.0,1799.0,Stanislaus,0.06559199555308505
2020-11-06,114.0,1684.0,Stanislaus,0.06769596199524941
2020-11-07,87.0,568.0,Stanislaus,0.15316901408450703
2020-11-08,111.0,525.0,Stanislaus,0.21142857142857144
2020-11-09,174.0,2257.0,Stanislaus,0.07709348692955251
2020-11-10,149.0,2268.0,Stanislaus,0.06569664902998236
2020-11-11,133.0,1454.0,Stanislaus,0.09147180192572214
2020-11-12,137.0,2020.0,Stanislaus,0.06782178217821783
2020-11-13,170.0,2009.0,Stanislaus,0.08461921353907417
2020-11-14,126.0,847.0,Stanislaus,0.1487603305785124
2020-11-15,143.0,821.0,Stanislaus,0.17417783191230207
2020-11-16,274.0,2793.0,Stanislaus,0.09810239885427856
2020-11-17,237.0,2704.0,Stanislaus,0.08764792899408284
2020-11-18,223.0,2229.0,Stanislaus,0.10004486316733961
2020-11-19,242.0,2906.0,Stanislaus,0.08327598072952512
2020-11-20,241.0,2308.0,Stanislaus,0.10441941074523396
2020-11-21,157.0,894.0,Stanislaus,0.1756152125279642
2020-11-22,143.0,1041.0,Stanislaus,0.1373679154658982
2020-11-23,325.0,3686.0,Stanislaus,0.088171459576777
2020-11-24,294.0,3163.0,Stanislaus,0.09294973126778375
2020-11-25,242.0,2045.0,Stanislaus,0.11833740831295844
2020-11-26,132.0,382.0,Stanislaus,0.34554973821989526
2020-11-27,232.0,1584.0,Stanislaus,0.14646464646464646
2020-11-28,229.0,1346.0,Stanislaus,0.17013372956909362
2020-11-29,239.0,1105.0,Stanislaus,0.216289592760181
2020-11-30,496.0,4171.0,Stanislaus,0.1189163270198993
2020-12-01,463.0,4193.0,Stanislaus,0.1104221321249702
2020-12-02,461.0,3465.0,Stanislaus,0.13304473304473305
2020-12-03,503.0,3786.0,Stanislaus,0.1328578975171685
2020-12-04,420.0,2880.0,Stanislaus,0.14583333333333334
2020-12-05,278.0,1122.0,Stanislaus,0.24777183600713013
2020-12-06,319.0,1352.0,Stanislaus,0.2359467455621302
2020-12-07,560.0,4830.0,Stanislaus,0.11594202898550725
2020-12-08,574.0,4221.0,Stanislaus,0.13598673300165837
2020-12-09,492.0,3482.0,Stanislaus,0.14129810453762207
2020-12-10,489.0,3867.0,Stanislaus,0.1264546159813809
2020-12-11,459.0,3144.0,Stanislaus,0.14599236641221375
2020-12-12,272.0,1271.0,Stanislaus,0.21400472069236823
