SampleDate,N1_Concentration_Merged,N2_Concentration_Merged,N/PMMoV,PV_Concentration_Merged,City,positives,Testing,pos_rate,NormalizedConc_crude,NormalizedConc,positives_crude,NormalizedConc_wo,NormalizedConc_wo_int,Type,N_gene,S_gene,BCoV Recovery,BA.2,NormalizedBA.2
2022-06-19,,,,,Woodland,31.0,530.0,0.05849056603773585,,0.0007656333904444445,31.0,,0.0007656333904444445,influent,,,,,
2022-06-20,774.7026062,897.2734833,0.0008524844513333334,980649.0234,Woodland,0.0,,,0.0008524844513333334,0.0008524844513333334,0.0,0.0008524844513333334,0.0008524844513333334,influent,,,,,
2022-06-21,962.1647644,939.9736023,0.0010192965546666666,933064.2578,Woodland,0.0,,,0.0010192965546666666,0.0010192965546666666,0.0,0.0010192965546666666,0.0010192965546666666,influent,,,,,
2022-06-22,1300.047302,1361.849518,0.0009212086546666667,1444784.961,Woodland,16.0,213.0,0.07511737089201878,0.0009212086546666667,0.0009212086546666667,16.0,0.0009212086546666667,0.0009212086546666667,influent,,,,,
2022-06-23,883.9425659,908.3584595,0.0010838554333333335,826817.3828,Woodland,42.0,816.0,0.051470588235294115,0.0010838554333333335,0.0010838554333333335,42.0,0.0010838554333333335,0.0010838554333333335,influent,,,,,
2022-06-24,578.417244,581.5531158,0.0008362249659999999,693575.5371,Woodland,30.0,704.0,0.04261363636363636,0.0008362249659999999,0.0008362249659999999,30.0,0.0008362249659999999,0.0008362249659999999,influent,,,,,
2022-06-25,,,,,Woodland,15.0,247.0,0.06072874493927125,,0.0007623547171111111,15.0,,0.0007623547171111111,influent,,,,,
2022-06-26,,,,,Woodland,25.0,445.0,0.056179775280898875,,0.0006884844682222222,25.0,,0.0006884844682222222,influent,,,,,
2022-06-27,355.6023026,386.0532761,0.0006146142193333334,603350.4883,Woodland,8.0,244.0,0.03278688524590164,0.0006146142193333334,0.0006146142193333334,8.0,0.0006146142193333334,0.0006146142193333334,influent,,,,,
2022-06-28,372.5430679,366.3735962,0.00031806579513333333,1161578.32,Woodland,13.0,230.0,0.05652173913043478,0.00031806579513333333,0.00031806579513333333,13.0,0.00031806579513333333,0.00031806579513333333,influent,,,,,
2022-06-29,,,,,Woodland,22.0,324.0,0.06790123456790123,,0.0002016263241,22.0,,0.0002016263241,influent,,,,,
2022-06-30,802.8775787,697.6550293,8.518685306666667e-05,8807301.563,Woodland,47.0,1217.0,0.038619556285949055,8.518685306666667e-05,8.518685306666667e-05,47.0,8.518685306666667e-05,8.518685306666667e-05,influent,,,,,
2022-07-01,925.1594543,934.392395,0.00018433458153333332,5043958.203,Woodland,10.0,560.0,0.017857142857142856,0.00018433458153333332,0.00018433458153333332,10.0,0.00018433458153333332,0.00018433458153333332,influent,,,,,
2022-07-02,,,,,Woodland,0.0,,,,0.0003761753869111111,0.0,,0.0003761753869111111,influent,,,,,
2022-07-03,,,,,Woodland,0.0,,,,0.0005680161922888889,0.0,,0.0005680161922888889,influent,,,,,
2022-07-04,940.8230591,921.9761658,0.0007598569976666667,1225756.445,Woodland,0.0,,,0.0007598569976666667,0.0007598569976666667,0.0,0.0007598569976666667,0.0007598569976666667,influent,,,,,
2022-07-05,1047.907333,1019.439392,0.000848234818,1218616.992,Woodland,3.0,66.0,0.045454545454545456,0.000848234818,0.000848234818,3.0,0.000848234818,0.000848234818,influent,,,,,
2022-07-06,767.2212219,776.5384674,0.0003962155243333333,1948131.25,Woodland,0.0,1.0,0.0,0.0003962155243333333,0.0003962155243333333,0.0,0.0003962155243333333,0.0003962155243333333,influent,,,,,
2022-07-07,1086.448975,1089.562225,0.0010472553993333333,1038911.426,Woodland,0.0,,,0.0010472553993333333,0.0010472553993333333,,0.0010472553993333333,0.0010472553993333333,influent,,,,,
2022-07-08,1163.979111,1287.795105,0.000767137709,1598001.367,Woodland,0.0,,,0.000767137709,0.000767137709,,0.000767137709,0.000767137709,influent,,,,,
2022-07-09,,,,,Woodland,0.0,,,,0.000841579584,,,0.000841579584,influent,,,,,
2022-07-10,,,,,Woodland,0.0,,,,0.0009160214589999999,,,0.0009160214589999999,influent,,,,,
2022-07-11,1038.375549,995.5258179,0.000990463334,1026742.383,Woodland,0.0,,,0.000990463334,0.000990463334,,0.000990463334,0.000990463334,influent,,,,,
2022-07-12,597.7119827,532.7481461,0.000508351624,1111887.988,Woodland,0.0,,,0.000508351624,0.000508351624,,0.000508351624,0.000508351624,influent,,,,,
2022-07-13,642.4563599,699.6309662,0.00043418830400000004,1545512.988,Woodland,0.0,,,0.00043418830400000004,0.00043418830400000004,,0.00043418830400000004,0.00043418830400000004,influent,,,,,
2022-07-14,925.6762695,859.9006653,0.0009356565213333333,954183.9844,Woodland,0.0,,,0.0009356565213333333,0.0009356565213333333,,0.0009356565213333333,0.0009356565213333333,influent,,,,,
2022-07-15,1082.567139,1003.239899,0.0001477636050666667,7057918.75,Woodland,0.0,,,0.0001477636050666667,0.0001477636050666667,,0.0001477636050666667,0.0001477636050666667,influent,,,,,
2022-07-16,,,,,Woodland,0.0,,,,0.0003554621414888889,,,0.0003554621414888889,influent,,,,,
2022-07-17,,,,,Woodland,0.0,,,,0.0005631606779111111,,,0.0005631606779111111,influent,,,,,
2022-07-18,784.6537781,764.9591827,0.0007708592143333332,1005120.605,Woodland,0.0,,,0.0007708592143333332,0.0007708592143333332,,0.0007708592143333332,0.0007708592143333332,influent,,,,,
2022-07-19,932.3316956,951.3240814,0.0013742938813333335,685317.6758,Woodland,0.0,,,0.0013742938813333335,0.0013742938813333335,,0.0013742938813333335,0.0013742938813333335,influent,,,,,
2022-07-20,653.9684296,650.7984161,0.00017152586626666664,3803411.328,Woodland,0.0,,,0.00017152586626666664,0.00017152586626666664,,0.00017152586626666664,0.00017152586626666664,influent,,,,,
2022-07-21,1157.710953,1181.427307,0.00114480074,1021635.547,Woodland,0.0,,,0.00114480074,0.00114480074,,0.00114480074,0.00114480074,influent,,,,,
2022-07-22,1214.135437,1295.41214,0.00025427080656666666,4934792.969,Woodland,0.0,,,0.00025427080656666666,0.00025427080656666666,,0.00025427080656666666,0.00025427080656666666,influent,,,,,
2022-07-23,,,,,Woodland,0.0,,,,0.00039959459304444447,,,0.00039959459304444447,influent,,,,,
2022-07-24,,,,,Woodland,0.0,,,,0.0005449183795222223,,,0.0005449183795222223,influent,,,,,
2022-07-25,694.8329926,772.6682281,0.0006902421660000001,1063033.594,Woodland,0.0,,,0.0006902421660000001,0.0006902421660000001,,0.0006902421660000001,0.0006902421660000001,influent,,,,,
2022-07-26,1099.561386,1165.56282,0.00021270915836666668,5324463.281,Woodland,0.0,,,0.00021270915836666668,0.00021270915836666668,,0.00021270915836666668,0.00021270915836666668,influent,,,,,
2022-07-27,1141.700974,1057.175827,0.00025095567946666666,4381006.25,Woodland,0.0,,,0.00025095567946666666,0.00025095567946666666,,0.00025095567946666666,0.00025095567946666666,influent,,,,,
2022-07-28,1045.150909,1100.788422,0.001088817489,985444.9219,Woodland,0.0,,,0.001088817489,0.001088817489,,0.001088817489,0.001088817489,influent,,,,,
2022-07-29,1019.617691,1003.304367,0.001003676654,1007755.859,Woodland,0.0,,,0.001003676654,0.001003676654,,0.001003676654,0.001003676654,influent,,,,,
2022-07-30,,,,,Woodland,0.0,,,,0.0010021469055555557,,,0.0010021469055555557,influent,,,,,
2022-07-31,,,,,Woodland,0.0,,,,0.001000617157111111,,,0.001000617157111111,influent,,,,,
2022-08-01,564.3933105,657.2286224,0.0009990874086666668,611368.8965,Woodland,0.0,,,0.0009990874086666668,0.0009990874086666668,,0.0009990874086666668,0.0009990874086666668,influent,,,,,
2022-08-02,949.7401428,1008.833389,0.0009585851646666667,1021595.996,Woodland,0.0,,,0.0009585851646666667,0.0009585851646666667,,0.0009585851646666667,0.0009585851646666667,influent,,,,,
2022-08-03,770.1334381,798.9936066,0.0010203692653333333,768901.5625,Woodland,0.0,,,0.0010203692653333333,0.0010203692653333333,,0.0010203692653333333,0.0010203692653333333,influent,,,,,
2022-08-04,1015.166092,1006.212845,0.001267756891,797226.5625,Woodland,0.0,,,0.001267756891,0.001267756891,,0.001267756891,0.001267756891,influent,,,,,
2022-08-05,2363.461151,2430.011444,0.003125382434,766861.7676,Woodland,0.0,,,0.003125382434,0.003125382434,,0.003125382434,0.003125382434,influent,,,,,
2022-08-06,,,,,Woodland,0.0,,,,0.0024675638094444445,,,0.0024675638094444445,influent,,,,,
2022-08-07,,,,,Woodland,0.0,,,,0.001809745184888889,,,0.001809745184888889,influent,,,,,
2022-08-08,694.8266602,775.2038574,0.0011519265603333333,638074.7559,Woodland,0.0,,,0.0011519265603333333,0.0011519265603333333,,0.0011519265603333333,0.0011519265603333333,influent,,,,,
2022-08-09,467.9141998,486.31073,0.0016318692216666666,292371.7529,Woodland,0.0,,,0.0016318692216666666,0.0016318692216666666,,0.0016318692216666666,0.0016318692216666666,influent,,,,,
2022-08-10,561.9004821777344,624.1621780395504,0.0018226549998379305,325366.7480468736,Woodland,0.0,,,0.0018226549998379305,0.0018226549998379305,,0.0018226549998379305,0.0018226549998379305,influent,,,,,
2022-08-11,813.6143493652319,839.346771240232,0.0028558093212410476,289403.2714843751,Woodland,0.0,,,0.0028558093212410476,0.0028558093212410476,,0.0028558093212410476,0.0028558093212410476,influent,,,,,
2022-08-12,,,,,Woodland,0.0,,,,0.0022098718287963206,,,0.0022098718287963206,influent,,,,,
2022-08-13,,,,,Woodland,0.0,,,,0.0015639343363515938,,,0.0015639343363515938,influent,,,,,
2022-08-14,,,,,Woodland,0.0,,,,0.000917996843906867,,,0.000917996843906867,influent,,,,,
2022-08-15,343.54007720947277,298.660697937012,0.00027205935146214005,1180258.59375,Woodland,0.0,,,0.00027205935146214005,0.00027205935146214005,,0.00027205935146214005,0.00027205935146214005,influent,,,,,
2022-08-16,649.0515136718752,606.6545104980472,0.0005555104679204935,1130227.1484375007,Woodland,0.0,,,0.0005555104679204935,0.0005555104679204935,,0.0005555104679204935,0.0005555104679204935,influent,,,,,
2022-08-17,508.8051224,578.1121063,0.0006352380423333333,855519.6289,Woodland,0.0,,,0.0006352380423333333,0.0006352380423333333,,0.0006352380423333333,0.0006352380423333333,influent,,,,,
2022-08-18,394.4065857,347.365303,0.0004810920613333333,770925.0977,Woodland,0.0,,,0.0004810920613333333,0.0004810920613333333,,0.0004810920613333333,0.0004810920613333333,influent,,,,,
2022-08-19,,,,,Woodland,0.0,,,,0.0004319970170083333,,,0.0004319970170083333,influent,,,,,
2022-08-20,,,,,Woodland,0.0,,,,0.00038290197268333334,,,0.00038290197268333334,influent,,,,,
2022-08-21,,,,,Woodland,0.0,,,,0.0003338069283583333,,,0.0003338069283583333,influent,,,,,
2022-08-22,474.1445923,501.3959885,0.00028471188403333335,1713206.641,Woodland,0.0,,,0.00028471188403333335,0.00028471188403333335,,0.00028471188403333335,0.00028471188403333335,influent,,,,,
2022-08-23,455.2898026,497.056694,0.0005119226463333334,930166.4063,Woodland,0.0,,,0.0005119226463333334,0.0005119226463333334,,0.0005119226463333334,0.0005119226463333334,influent,,,,,
2022-08-24,600.6550598,679.8209381,0.00043013391933333333,1488462.012,Woodland,0.0,,,0.00043013391933333333,0.00043013391933333333,,0.00043013391933333333,0.00043013391933333333,influent,,,,,
2022-08-25,795.0563812,826.6229248,0.0007195158113333334,1126924.023,Woodland,0.0,,,0.0007195158113333334,0.0007195158113333334,,0.0007195158113333334,0.0007195158113333334,influent,,,,,
2022-08-26,,,,,Woodland,0.0,,,,0.0006341855555833334,,,0.0006341855555833334,influent,,,,,
