"pop2023","pop2020","growth","name","aland_sqmi","intptlat","intptlong","slug","usps","lng","lat","rank","density"
15279,16287,-0.02108,"Artesia",1.621,33.8676,-118.081,"artesia-ca","CA",-118.081,33.8676,324,9426
15276,14168,0.02544,"Livingston",3.675,37.3873,-120.725,"livingston-ca","CA",-120.725,37.3873,325,4157
15178,15058,0.00264,"California City",203.611,35.1466,-117.869,"california-city-ca","CA",-117.869,35.1466,326,75
15061,15592,-0.01149,"La Palma",1.783,33.8506,-118.04,"la-palma-ca","CA",-118.04,33.8506,327,8447
15057,14169,0.02047,"McFarland",2.668,35.6706,-119.233,"mcfarland-ca","CA",-119.233,35.6706,328,5644
14830,14622,0.00474,"Parlier",2.409,36.6087,-119.543,"parlier-ca","CA",-119.543,36.6087,329,6156
14817,15074,-0.0057,"Pacific Grove",2.859,36.6226,-121.926,"pacific-grove-ca","CA",-121.926,36.6226,330,5183
14470,14647,-0.00406,"Red Bluff",7.561,40.1735,-122.242,"red-bluff-ca","CA",-122.242,40.1735,331,1914
14038,13614,0.01029,"Grass Valley",5.249,39.2238,-121.052,"grass-valley-ca","CA",-121.052,39.2238,332,2674
14021,13758,0.00632,"Auburn",7.177,38.8951,-121.077,"auburn-ca","CA",-121.077,38.8951,333,1954
13942,14187,-0.00578,"Mill Valley",4.763,37.9081,-122.542,"mill-valley-ca","CA",-122.542,37.9081,334,2927
13927,13765,0.00389,"Avenal",19.486,36.0311,-120.116,"avenal-ca","CA",-120.116,36.0311,335,715
13594,13368,0.00562,"King City",3.896,36.2163,-121.132,"king-city-ca","CA",-121.132,36.2163,336,3489
13331,13169,0.00407,"Grand Terrace",3.507,34.0312,-117.313,"grand-terrace-ca","CA",-117.313,34.0312,337,3801
13247,13142,0.00265,"Tehachapi",10.15,35.143,-118.446,"tehachapi-ca","CA",-118.446,35.143,338,1305
13221,14108,-0.02139,"Hawaiian Gardens",0.948,33.8305,-118.073,"hawaiian-gardens-ca","CA",-118.073,33.8305,339,13946
13099,12449,0.01708,"Kingsburg",3.707,36.5252,-119.567,"kingsburg-ca","CA",-119.567,36.5252,340,3534
12903,12652,0.00655,"Mendota",3.385,36.756,-120.378,"mendota-ca","CA",-120.378,36.756,341,3812
12852,13259,-0.01032,"Carpinteria",2.588,34.3852,-119.501,"carpinteria-ca","CA",-119.501,34.3852,342,4966
12758,12617,0.0037,"Marysville",3.464,39.1515,-121.583,"marysville-ca","CA",-121.583,39.1515,343,3683
12752,13017,-0.00685,"Larkspur",3.024,37.9405,-122.53,"larkspur-ca","CA",-122.53,37.9405,344,4217
12745,12694,0.00134,"Grover Beach",2.312,35.1209,-120.62,"grover-beach-ca","CA",-120.62,35.1209,345,5513
12692,12960,-0.00696,"Emeryville",1.27,37.8385,-122.302,"emeryville-ca","CA",-122.302,37.8385,346,9994
12689,12957,-0.00697,"Solana Beach",3.411,32.9913,-117.258,"solana-beach-ca","CA",-117.258,32.9913,347,3720
12586,12652,-0.00174,"Lindsay",2.733,36.2082,-119.09,"lindsay-ca","CA",-119.09,36.2082,348,4605
12531,12775,-0.00642,"San Anselmo",2.677,37.9821,-122.57,"san-anselmo-ca","CA",-122.57,37.9821,349,4681
12496,10170,0.07106,"Calimesa",14.858,33.9873,-117.054,"calimesa-ca","CA",-117.054,33.9873,350,841
12489,13343,-0.02177,"Palos Verdes Estates",4.774,33.7872,-118.397,"palos-verdes-estates-ca","CA",-118.397,33.7872,351,2616
12480,12483,-0.00008,"Fortuna",5.248,40.5871,-124.142,"fortuna-ca","CA",-124.142,40.5871,352,2378
12292,12346,-0.00146,"Newman",2.062,37.3157,-121.021,"newman-ca","CA",-121.021,37.3157,353,5961
12160,12268,-0.00295,"Scotts Valley",4.618,37.0555,-122.012,"scotts-valley-ca","CA",-122.012,37.0555,354,2633
11780,12498,-0.01956,"San Marino",3.766,34.1227,-118.113,"san-marino-ca","CA",-118.113,34.1227,355,3128
